location,x-axis,y-axis,z-axis,x-degree,y-degree,z-degree
bottom_left,-0.29575234491342484,-0.2487515097829805,-0.017909406936489902,34.26386881018035,16.412539831233296,8.677624467849911
object,0.2552452148012273,-0.18012253806690615,0.07676367526484162,3.869017524425473,-2.1595116706586355,106.90867375418206
finger_2_dist,-0.002194172468225345,-0.07093318003795551,0.2086182698894149,-2.329087424619914,10.484308242646057,11.665610214812816
finger_2_prox,-0.010637052903727042,-0.023344313641989828,0.19994526343216168,-5.8631667558375185,0.33210079256130565,22.1477846922172
end_effector,0.07300496067337564,-0.005069372085748784,0.17189049360548836,-9.636504281587047,-7.729141659546499,-130.5507625786644
palm,0.00621230577852862,0.06405451880496432,0.20727109913005737,5.419313472911234,-2.74740757618286,-131.44581729965122
finger_1_dist,0.1255731944964762,0.0773923683298227,0.2001859660962686,-16.621033553820222,-15.99253506369686,-95.08085817134283
finger_1_prox,0.08163264527154025,0.08601119433854003,0.19226970584350755,9.838683423016468,-2.8193039487712,-102.2769543104539
top_right,0.30703677960561016,0.2564516362668496,-0.03368158573036306,-31.771824118456102,-30.421555477138213,8.093338605495086
top_left,-0.2999305447710484,0.25571044705018253,-0.016021652122478747,-25.590319372708677,14.069445581047997,-5.963259373660852
